English,French
hear,entendre
see,voir
look,regarder
understand,comprendre
explain,expliquer
say,dire
tell,raconter
speak,parler
write,écrire
read,lire
call,appeler
meet,rencontrer
help,aider
agree,être d'accord
disagree,ne pas être d'accord
choose,choisir
decide,décider
hope,espérer
plan,planifier
prepare,préparer
expect,attendre / s'attendre à
wait,attendre
need,avoir besoin
want,vouloir
like,aimer
dislike,ne pas aimer
love,aimer
hate,détester
enjoy,apprécier
feel,ressentir
touch,toucher
see,voir
hear,entendre
smell, sentir
taste,goûter
speak,parler
talk,discuter
shout,crier
whisper,chuchoter
laugh,rire
cry,pleurer
scream,hurler
smile,sourire
frown,froncer les sourcils
cough,tousser
sneeze,éternuer
yawn,bâiller
sleep,dormir
wake,réveiller
rest,se reposer
relax,se détendre
work,travailler
study,étudier
learn,apprendre
teach,enseigner
study,réviser
examine,examiner
test,tester
practice,pratiquer
exercise,faire de l'exercice
play,jouer
sing,chanter
dance,danser
run,courir
walk,marcher
swim,nager
ride,monter
fly,voler
climb,grimper
jump,sauter
skip,sauter / passer
skip,sauter
fall,tomber
stumble,trébucher
sit,s'asseoir
stand,se lever
lie,mentir
tell,dire
ask,demander
answer,répondre
explain,expliquer
question,questionner
discuss,discuter
talk,parler
shout,crier
whisper,chuchoter
agree,être d'accord
disagree,ne pas être d'accord
accept,accepter
refuse,refuser
allow,permettre
forbid,interdire
recommend,recommander
advise,conseiller
suggest,suggérer
warn,avertir
encourage,encourager
convince,convaincre
invite,inviter
refuse,refuser
decline,décliner
choose,choisir
select,sélectionner
decide,décider
wish,souhaiter
hope,espérer
need,avoir besoin
want,vouloir
like,aimer
prefer,préférer
enjoy,apprécier
dislike,ne pas aimer
love,aimer
hate,détester
fear,craindre
surprise,surprendre
worry,s'inquiéter
wonder,se demander
expect,attendre
fear,peur
joy,joie
happiness,bonheur
sadness,tristesse
anger,colère
surprise,surprise
love,amour
hate,haine
shame,honte
guilt,culpabilité
fear,peur
relief,soulagement
hope,espoir
despair,désespoir
loneliness,solitude
boredom,ennui
excitement,excitation
interest,intérêt
curiosity,curiosité
patience,patience
kindness,gentillesse
honesty,honnêteté
responsibility,responsabilité
selfishness,égoïsme
generosity,générosité
ambition,ambition
motivation,motivation
attitude,attitude
behavior,comportement
mood,humeur
personality,personnalité
character,caractère
emotion,émotion
feeling,sentiment
thought,thought
idea,idée
belief,croyance
opinion,opinion
suggestion,suggestion
decision,décision
choice,choix
plan,plan
purpose,but
reason,raison
cause,cause
effect,effet
result,résultat
consequence,conséquence
outcome,résultat
possibility,possibilité
probability,probabilité
option,option
alternative,alternative
opportunity,opportunité
chance,chance
risk,risque
danger,danger
safety,sécurité
security,sécurité
threat,menace
problem,problème
solution,solution
challenge,défi
success,succès
failure,échec
difficulty,difficulté
obstacle,obstacle
opportunity,occasion
question,question
answer,réponse
doubt,doute
certainty,certitude
mystery,mystère
truth,vérité
lie,mensonge
fact,fait
fiction,fiction
knowledge,connaissance
understanding,compréhension
wisdom,sagesse
intelligence,intelligence
imagination,imagination
creativity,créativité
logic,logique
reason,raison
judgment,jugement
conclusion,conclusion
assumption,hypothèse
belief,croyance
opinion,opinion
view,vue
thought,pensée
idea,idé
theory,théorie
hypothesis,hypothèse
experiment,expérience
result,résultat
data,données
information,information
analysis,analyse
method,méthode
approach,approche
process,processus
technique,technique
skill,compétence
talent,talent
ability,capacité
strength,force
weakness,faiblesse
power,pouvoir
energy,énergie
effort,effort
work,travail
achievement,réalisation
success,succès
failure,échec
mistake,erreur
accident,accident
incident,incident
problem,problème
solution,solution
challenge,defi
opportunity,opportunité
risk,risque
danger,danger
harm,dommage
injury,blessure
pain,douleur
sickness,maladie
health,santé
wellness,bien-être
fitness,forme physique
exercise,exercice
workout,entrainement
diet,régime
food,nourriture
drink,boisson
meal,repas
snack,en-cas
breakfast,petit déjeuner
lunch,dejeuner
dinner,dîner
supper,souper
dessert,dessert
vegetable,légume
fruit,fruit
meat,viande
fish,poisson
bread,pain
cheese,fromage
milk,lait
water,eau
juice,jus
soda,soda
coffee,café
tea,thé
wine,vin
beer,bière
alcohol,alcool
sugar,sucre
salt,sel
pepper,poivre
spice,épice
sauce,sauce
soup,soupe
sandwich,sandwich
pizza,pizza
burger,hamburger
chicken,poulet
pasta,pâtes
rice,riz
noodles,nouilles
salad,salade
fruit,fruit
vegetable,légume
nut,noix
seed,graine
bread,pain
cake,gâteau
pie,tarte
cookie,biscuit
candy,bonbon
chocolate,chocolat
ice cream,crème glacée
snack,en-cas
meal,repas
fast food,restauration rapide
restaurant,restaurant
cafe,café
bakery,boulangerie
bar,bar
pub,pub
kitchen,cuisine
stove,cuisinière
oven,four
refrigerator,réfrigérateur
freezer,congélateur
microwave,micro-ondes
toaster,grille-pain
blender,mixeur
mixer,batteur
pot,pot
pan,poêle
knife,couteau
fork,fourchette
spoon,couillère
plate,assiette
bowl,bol
glass,verre
cup,tasse
mug,mug
bottle,bouteille
jar,bocal
napkin,serviette
table,table
chair,chaise
sofa,canapé
bed,lit
pillow,oreiller
blanket,couverture
sheet,drap
mattress,matelas
wardrobe,armoire
dresser,commode
shelf,étagère
cupboard,placard
drawer,tiroir
mirror,miroir
lamp,lampe
light,lumière
curtain,rideau
window,feneêtre
door,porte
wall,mur
floor,sol
ceiling,plafond
roof,toit
garden,jardin
yard,cour
fence,clôture
gate,porte
path,chemin
road,route
street,rue
highway,autoroute
sidewalk,trottoir
bridge,pont
tunnel,tunnel
building,bâtiment
house,maison
apartment,appartement
room, chambre
kitchen,cuisine
living room,salon
bathroom,salle de bain
toilet,toilettes
garage,garage
office,bureau
shop,magasin
store,magasin
mall,centre commercial
bank,banque
hospital,hôpital
school,école
university,université
college,collège
library,bibliothèque
church,église
temple,temple
mosque,mosquée
synagogue,synagogue
park,parc
playground,aire de jeux
gym,gymnase
stadium,stade
airport,aéroport
train station,gare
bus station,station de bus
port,port
subway,métro
taxi,taxi
car,voiture
truck,camion
motorcycle,moto
bicycle,vélo
bus,autobus
train,train
ship,navire
boat,bateau
plane,avion
helicopter,hélicoptère
journey, voyage
trip, voyage
vacation, vacances
holiday,jour férié
adventure,aventure
exploration,exploration
expedition,expédition
travel,voyager
visit,visiter
tour,circuit
guide,guide
map,carte
direction,direction
location,emplacement
destination,destination
departure,départ
arrival,arrivée
ticket,billet
passport,passeport
visa,visa
luggage,bagages
suitcase,valise
backpack,sac à dos
bag,sac
wallet,portefeuille
money,argent
currency,monnaie
