English,French
soda,soda
coffee,café
tea,thé
wine,vin
beer,bière
alcohol,alcool
sugar,sucre
salt,sel
pepper,poivre
spice,épice
sauce,sauce
soup,soupe
sandwich,sandwich
pizza,pizza
burger,hamburger
chicken,poulet
pasta,pâtes
rice,riz
noodles,nouilles
salad,salade
nut,noix
seed,graine
cake,gâteau
pie,tarte
cookie,biscuit
candy,bonbon
chocolate,chocolat
ice cream,crème glacée
fast food,restauration rapide
restaurant,restaurant
cafe,café
bakery,boulangerie
bar,bar
pub,pub
kitchen,cuisine
stove,cuisinière
oven,four
refrigerator,réfrigérateur
freezer,congélateur
microwave,micro-ondes
toaster,grille-pain
blender,mixeur
mixer,batteur
pot,pot
pan,poêle
knife,couteau
fork,fourchette
spoon,couillère
plate,assiette
bowl,bol
glass,verre
cup,tasse
mug,mug
bottle,bouteille
jar,bocal
napkin,serviette
table,table
chair,chaise
sofa,canapé
bed,lit
pillow,oreiller
blanket,couverture
sheet,drap
mattress,matelas
wardrobe,armoire
dresser,commode
shelf,étagère
cupboard,placard
drawer,tiroir
mirror,miroir
lamp,lampe
light,lumière
curtain,rideau
window,feneêtre
door,porte
wall,mur
floor,sol
ceiling,plafond
roof,toit
garden,jardin
yard,cour
fence,clôture
gate,porte
path,chemin
road,route
street,rue
highway,autoroute
sidewalk,trottoir
bridge,pont
tunnel,tunnel
building,bâtiment
house,maison
apartment,appartement
room,chambre
living room,salon
bathroom,salle de bain
toilet,toilettes
garage,garage
office,bureau
shop,magasin
store,magasin
market,marché
mall,centre commercial
bank,banque
hospital,hôpital
school,école
university,université
college,collège
library,bibliothèque
church,église
temple,temple
mosque,mosquée
synagogue,synagogue
park,parc
playground,aire de jeux
gym,gymnase
stadium,stade
airport,aéroport
train station,gare
bus station,station de bus
port,port
subway,métro
taxi,taxi
car,voiture
truck,camion
motorcycle,moto
bicycle,vélo
bus,autobus
train,train
ship,navire
boat,bateau
plane,avion
helicopter,hélicoptère
journey,voyage
trip,voyage
vacation,vacances
holiday,jour férié
adventure,aventure
exploration,exploration
expedition,expédition
tour,circuit
guide,guide
map,carte
direction,direction
location,emplacement
destination,destination
departure,départ
arrival,arrivée
ticket,billet
passport,passeport
visa,visa
luggage,bagages
suitcase,valise
backpack,sac à dos
bag,sac
wallet,portefeuille
money,argent
currency,monnaie
the,le/la
to,à
a,un/une
that,que
it,il/elle
you,tu/vous
this,ce/cette
his,son
they,ils/elles
her,sa
an,un/une
will,volonté
my,mon
one,un
would,voudrais
their,leur
what,quoi
so,donc
up,en haut
about,au sujet de
which,quel
me,moi
like,comme
know,savoir
people,gens
year,année
your,votre
good,bon
down,en bas
off,éteint
over,sur
under,sous
again,encore
further,plus loin
once,une fois
any,n'importe quel
such,tel
nor,ni
very,très
